Case,ME/C Case,DBF,Age From,Age To,City,County,State,Biological Sex,Race / Ethnicity,Date Modified
UP15471,ME/C Case 2016-8479,7/7/2016,26,52,Everett,Middlesex,Massachusetts,Female,Uncertain,9/18/2024
UP67478,ME/C Case 288-16,6/27/2016,,,Chesterfield,Cheshire,New Hampshire,Unsure,Uncertain,7/14/2023
UP97899,ME/C Case Q16-02796,6/16/2016,50,60,Queens,Queens,New York,Male,Hispanic / Latino,4/19/2024
UP17595,ME/C Case 2017-1027952,6/16/2016,,,Toccoa,Stephens,Georgia,Unsure,Uncertain,9/4/2024
UP15279,ME/C Case 16-02389,6/4/2016,,,Philadelphia,Philadelphia,Pennsylvania,Male,Uncertain,8/27/2024
UP15794,ME/C Case 2016-6970,6/2/2016,60,62,Haverhill,Essex,Massachusetts,Male,White / Caucasian,9/18/2024
UP15907,ME/C Case K16-02890,5/28/2016,19,28,Brooklyn,Kings,New York,Male,Black / African American,1/12/2024
UP16245,ME/C Case Q16-02466,5/25/2016,50,70,,Queens,New York,Male,"White / Caucasian, Hispanic / Latino",4/26/2024
UP16137,ME/C Case 2016-1034359*,5/21/2016,,,Jasper,Pickens,Georgia,Male,Uncertain,9/4/2024
UP15662,ME/C Case 16-2368,5/20/2016,21,90,,Suffolk,New York,Unsure,Uncertain,10/22/2024
UP15408,ME/C Case 16-04991,5/6/2016,17,19,Thurmont,Frederick,Maryland,Male,Black / African American,9/4/2024
UP15890,ME/C Case 2016-5634,5/2/2016,55,60,Everett,Middlesex,Massachusetts,Male,White / Caucasian,9/19/2024
UP15058,ME/C Case 2016-5643,5/2/2016,14,99,Orleans,Barnstable,Massachusetts,Male,Uncertain,9/19/2024
UP15147,ME/C Case ME16-4735/B16-2019,4/27/2016,30,40,Durham,Durham,North Carolina,Male,White / Caucasian,9/19/2024
UP15631,ME/C Case 2016-6002049,4/25/2016,45,60,Savannah,Chatham,Georgia,Female,Black / African American,9/4/2024
UP15843,ME/C Case 20160391,4/21/2016,25,45,Plainfield,Union,New Jersey,Male,Hispanic / Latino,8/28/2024
UP15123,ME/C Case 16-01869,4/19/2016,,,,Kanawha,West Virginia,Male,Uncertain,9/4/2024
UP15398,ME/C Case MC16-022,4/7/2016,,,Jefferson Township,Somerset,Pennsylvania,Unsure,Uncertain,8/27/2024
UP15502,ME/C Case MEW 2016-0756,4/2/2016,45,60,Yonkers,Westchester,New York,Male,White / Caucasian,9/20/2024
UP14935,ME/C Case 15160389,3/22/2016,18,99,Brick Township,Ocean,New Jersey,Unsure,Uncertain,8/28/2024
UP15048,ME/C Case 16-1283,3/22/2016,47,73,Philadelphia,Philadelphia,Pennsylvania,Female,Black / African American,8/27/2024
UP14974,ME/C Case 6797468,3/15/2016,20,30,Ulster,Ulster,New York,Male,Uncertain,9/20/2024
UP15724,ME/C Case 07-16-0463,3/13/2016,18,60,Newark,Essex,New Jersey,Male,Hispanic / Latino,8/28/2024
UP105655,ME/C Case Q16-01224,3/13/2016,50,60,Elmhurst,Queens,New York,Female,Asian,4/19/2024
UP15888,ME/C Case 2016-3305,3/12/2016,55,60,Lowell,Middlesex,Massachusetts,Male,White / Caucasian,9/20/2024
UP14893,ME/C Case 2016-3202,3/10/2016,45,70,Boston,Suffolk,Massachusetts,Male,White / Caucasian,9/20/2024
UP14889,ME/C Case C2016-61123,3/7/2016,33,49,Richmond,Richmond,Virginia,Male,Black / African American,11/22/2023
UP15406,ME/C Case K16-01174,2/29/2016,55,85,Brooklyn,Kings,New York,Male,Black / African American,10/27/2023
UP98139,ME/C Case K16-00964,2/19/2016,25,35,Brooklyn,Kings,New York,Male,Hispanic / Latino,4/19/2024
UP15741,ME/C Case 16-0397,2/18/2016,40,60,Atlanta,Fulton,Georgia,Male,Black / African American,9/4/2024
UP15847,ME/C Case K16-00835,2/12/2016,25,35,,Kings,New York,Male,Hispanic / Latino,9/20/2024
UP15849,ME/C Case K16-00658,2/3/2016,50,80,Brooklyn,Kings,New York,Female,White / Caucasian,9/23/2024
UP58098,ME/C Case B16-0136,1/29/2016,30,40,Charlotte,Mecklenburg,North Carolina,Male,White / Caucasian,5/17/2023
UP14774,ME/C Case 2016-1001731,1/19/2016,44,60,Riverdale,Clayton,Georgia,Female,,9/4/2024
UP14845,ME/C Case K16-00300,1/16/2016,18,30,Brooklyn,Kings,New York,Male,Black / African American,10/29/2024
UP15593,ME/C Case FC-02130-15,12/17/2015,18,30,Ephratah,Fulton,New York,Female,Black / African American,9/23/2024
UP95989,ME/C Case Q16-00419,12/3/2015,30,40,Queens,Queens,New York,Male,Hispanic / Latino,4/12/2024
UP14654,ME/C Case ME15-10577/B15-3900,11/27/2015,1,99,Concord,Cabarrus,North Carolina,Male,Uncertain,9/23/2024
UP15162,ME/C Case 04151157,11/23/2015,18,99,Hi Nella,Camden,New Jersey,Male,Uncertain,8/28/2024
UP15005,ME/C Case 15-10973,11/16/2015,18,30,Snow Hill,Worcester,Maryland,Female,Black / African American,4/10/2023
UP14694,ME/C Case 15151371,11/13/2015,18,99,Point Pleasant Beach,Ocean,New Jersey,Male,Uncertain,8/28/2024
UP14656,ME/C Case 2015-14033,11/13/2015,30,60,Chelsea,Suffolk,Massachusetts,Male,"White / Caucasian, Hispanic / Latino",9/20/2024
UP14616,ME/C Case 15-10678,11/8/2015,35,50,Riverdale Park,Prince George's,Maryland,Male,Uncertain,9/4/2024
UP14737,ME/C Case 01150690,11/2/2015,45,65,Atlantic City,Atlantic,New Jersey,Male,Asian,8/28/2024
UP14602,ME/C Case 15-09651,10/12/2015,50,70,Baltimore,Baltimore,Maryland,Male,White / Caucasian,9/4/2024
UP15073,ME/C Case M15-05958,10/12/2015,60,99,New York,New York,New York,Female,White / Caucasian,8/29/2024
UP17183,ME/C Case 2015-6005581,10/7/2015,40,40,,Glynn,Georgia,Female,Uncertain,9/4/2024
UP54708,ME/C Case 15-7845,8/22/2015,,,Baltimore,Baltimore,Maryland,Male,Black / African American,4/26/2024
UP14340,ME/C Case 15-07633,8/16/2015,50,70,Essex,Baltimore,Maryland,Male,White / Caucasian,9/4/2024
UP16151,ME/C Case 02COR04403,8/15/2015,,,,Allegheny,Pennsylvania,Female,Uncertain,8/27/2024
UP14360,ME/C Case W2015-85948,8/14/2015,18,80,Bastian,Bland,Virginia,Male,Uncertain,6/20/2024
UP14244,ME/C Case 15-07275,8/6/2015,50,70,Laurel,Prince George's,Maryland,Male,White / Caucasian,9/4/2024
UP15072,ME/C Case M15-04592,8/5/2015,40,55,Manhattan,New York,New York,Female,Black / African American,9/20/2024
UP14117,ME/C Case 15G-0794,7/21/2015,18,50,Buford,Gwinnett,Georgia,Male,"White / Caucasian, Hispanic / Latino",9/4/2024
UP17182,ME/C Case 2015-6003154,7/7/2015,18,18,Saint Simon,Glynn,Georgia,Male,"Hispanic / Latino, Asian",9/4/2024
UP14208,ME/C Case 01150385,7/6/2015,18,99,Pleasantville,Atlantic,New Jersey,Male,Uncertain,8/28/2024
UP72126,ME/C Case A15-1044,6/25/2015,,,Pfafftown,Forsyth,North Carolina,Unsure,Uncertain,9/23/2024
UP54709,ME/C Case 15-5806,6/23/2015,,,Baltimore,Baltimore,Maryland,Unsure,Uncertain,4/10/2023
UP17051,ME/C Case 15-2585,6/16/2015,50,80,Philadelphia,Philadelphia,Pennsylvania,Male,White / Caucasian,8/27/2024
UP14175,ME/C Case 15-2441,6/7/2015,50,65,Philadelphia,Philadelphia,Pennsylvania,Male,Black / African American,8/27/2024
UP95923,ME/C Case B15-02786,6/4/2015,50,70,Bronx,Bronx,New York,Male,Hispanic / Latino,5/3/2024
UP15135,ME/C Case 2015-1101,5/22/2015,30,50,Portland,Cumberland,Maine,Female,Asian,9/24/2024
UP13931,ME/C Case ME15-4990/B15-1490,5/19/2015,50,70,Raleigh,Wake,North Carolina,Male,White / Caucasian,9/24/2024
UP124353,ME/C Case 15-0631,5/11/2015,,,Lithonia,DeKalb,Georgia,Unsure,Uncertain,7/26/2024
UP13970,ME/C Case 2015-1011592,5/11/2015,18,99,Millen,Jenkins,Georgia,Male,"White / Caucasian, Hispanic / Latino",9/4/2024
UP16324,ME/C Case 15-2055,5/11/2015,20,36,Philadelphia,Philadelphia,Pennsylvania,Male,Black / African American,8/27/2024
UP13953,ME/C Case 2015-5666,5/1/2015,25,53,Fitchburg,Worcester,Massachusetts,Female,White / Caucasian,9/24/2024
UP13872,ME/C Case 15-01869,4/29/2015,40,60,Philadelphia,Philadelphia,Pennsylvania,Male,Black / African American,8/27/2024
UP121841,ME/C Case ME15-4570/B15-1901,4/27/2015,,,New Bern,Craven,North Carolina,Male,Uncertain,10/28/2024
UP14514,ME/C Case 2015-5445,4/26/2015,60,70,South Boston,Suffolk,Massachusetts,Male,White / Caucasian,9/24/2024
UP15192,ME/C Case 09150414,4/24/2015,40,60,Kearny,Hudson,New Jersey,Male,"White / Caucasian, Hispanic / Latino",8/18/2022
UP14539,ME/C Case 12150577,4/22/2015,0,99,Sayreville,Middlesex,New Jersey,Male,Uncertain,11/20/2024
UP13978,ME/C Case 2015-1009035,4/10/2015,18,99,,Jenkins,Georgia,Female,Uncertain,9/4/2024
UP13889,ME/C Case *2015-4280,4/1/2015,76,78,Boston,Suffolk,Massachusetts,Female,Black / African American,9/24/2024
UP13888,ME/C Case 2015-4279,4/1/2015,71,72,Boston,Suffolk,Massachusetts,Female,Black / African American,9/24/2024
UP13980,ME/C Case ME15-5509/B15-2305,3/31/2015,,,Asheville,Buncombe,North Carolina,Unsure,Uncertain,9/24/2024
UP13739,ME/C Case T2015-77926,3/28/2015,40,65,Virginia Beach,Virginia Beach,Virginia,Male,White / Caucasian,3/18/2024
UP13728,ME/C Case 15150406,3/19/2015,,,Seaside Park,Ocean,New Jersey,Male,Uncertain,8/28/2024
UP13969,ME/C Case 2015-1007666,3/17/2015,0,99,Atlanta,Clayton,Georgia,Female,Uncertain,9/4/2024
UP13887,ME/C Case 2015-3515,3/14/2015,70,71,Holyoke,Hampden,Massachusetts,Female,White / Caucasian,3/20/2024
UP13697,ME/C Case 15-0972,3/2/2015,35,65,Philadelphia,Philadelphia,Pennsylvania,Male,"White / Caucasian, Hispanic / Latino",8/27/2024
UP13849,ME/C Case 2015-1003585,2/12/2015,44,64,LaGrange,Troup,Georgia,Male,Asian,9/4/2024
UP13952,ME/C Case 15-0069,1/11/2015,45,60,Atlanta,Fulton,Georgia,Male,Uncertain,9/4/2024
UP13315,ME/C Case 2014-16034,12/13/2014,27,66,Newbury,Essex,Massachusetts,Male,Uncertain,9/25/2024
UP13338,ME/C Case 14-003408,12/12/2014,40,80,Economy Borough,Beaver,Pennsylvania,Female,White / Caucasian,8/27/2024
UP13968,ME/C Case 2015-1006375,12/3/2014,18,50,Douglasville,Douglas,Georgia,Male,"White / Caucasian, Hispanic / Latino",9/4/2024
UP13745,ME/C Case 14-09700 *,11/15/2014,18,90,Ocean City,Worcester,Maryland,Female,Uncertain,4/10/2023
UP13744,ME/C Case H190,11/11/2014,0,0,,Monmouth,New Jersey,Female,Uncertain,11/20/2024
UP13320,ME/C Case 14-16789,11/9/2014,21,35,Cromwell,Middlesex,Connecticut,Male,Black / African American,9/26/2024
UP13584,ME/C Case 2014-1449,10/29/2014,45,65,Memphis,Shelby,Tennessee,Male,White / Caucasian,9/26/2024
UP14019,ME/C Case 02141516,10/27/2014,18,99,Rutherford,Bergen,New Jersey,Male,Uncertain,8/28/2024
UP14973,ME/C Case Q14-04769,10/20/2014,45,65,,Queens,New York,Male,White / Caucasian,9/26/2024
UP13463,ME/C Case 14-08871,10/19/2014,60,80,Baltimore,Baltimore,Maryland,Male,Black / African American,9/4/2024
UP13936,ME/C Case 14-2033,10/17/2014,30,40,College Park,Fulton,Georgia,Female,Uncertain,9/4/2024
UP98145,ME/C Case M14-06014,10/9/2014,30,40,Manhattan,New York,New York,Male,Hispanic / Latino,4/12/2024
UP13630,ME/C Case M14-06028,10/9/2014,50,99,New York,New York,New York,Male,"Black / African American, Hispanic / Latino",8/29/2024
UP14585,ME/C Case M14-05816,9/30/2014,20,35,New York,New York,New York,Female,White / Caucasian,12/1/2024
UP16140,ME/C Case 15COR07683,9/30/2014,,,Carnegie,Allegheny,Pennsylvania,Unsure,Uncertain,8/27/2024
UP13206,ME/C Case M14-05706,9/24/2014,50,90,Brooklyn,New York,New York,Male,White / Caucasian,9/26/2024
UP12984,ME/C Case 14-3570,9/10/2014,35,60,Philadelphia,Philadelphia,Pennsylvania,Male,White / Caucasian,8/27/2024
UP14401,ME/C Case 14C-0984,9/3/2014,18,99,Atlanta,Cobb,Georgia,Male,Uncertain,9/4/2024
UP15389,ME/C Case 14-5866,8/31/2014,,,Clendenin,Kanawha,West Virginia,Unsure,Uncertain,9/4/2024
UP13086,ME/C Case 2014-8002621,8/22/2014,,,Dawsonville,Dawson,Georgia,Unsure,Uncertain,9/4/2024
UP13556,ME/C Case 14-03288,8/16/2014,20,40,Philadelphia,Philadelphia,Pennsylvania,Male,"Black / African American, Hispanic / Latino",8/27/2024
UP12838,ME/C Case ME14-6963/B14-3203,8/10/2014,20,30,Greensboro,Guilford,North Carolina,Female,Black / African American,7/1/2024
UP12904,ME/C Case 14-06833,8/10/2014,60,70,Baltimore,Baltimore,Maryland,Male,Black / African American,9/4/2024
UP12958,ME/C Case 14-01652,7/20/2014,13,18,Rush,Monroe,New York,Unsure,Uncertain,9/26/2024
UP13204,ME/C Case K14-03252,6/26/2014,40,60,Brooklyn,Kings,New York,Male,White / Caucasian,9/26/2024
UP12764,ME/C Case 2014-8305,6/17/2014,40,50,Boston,Suffolk,Massachusetts,Male,Hispanic / Latino,2/5/2024
UP12568,ME/C Case 2014-7706,6/4/2014,,,Sandwich,Barnstable,Massachusetts,Male,Black / African American,12/12/2024
UP12903,ME/C Case 14-04847,6/3/2014,35,55,Baltimore,Baltimore,Maryland,Male,Other,4/19/2024
UP12963,ME/C Case 2014-7418,5/30/2014,,,Boston,Suffolk,Massachusetts,Male,Black / African American,9/26/2024
UP13203,ME/C Case Q14-02502,5/25/2014,,,Queens,Queens,New York,Male,Uncertain,9/26/2024
UP12690,ME/C Case 2014-6829,5/17/2014,18,99,,Plymouth,Massachusetts,Male,Hispanic / Latino,9/26/2024
UP12738,ME/C Case 14-03999,5/4/2014,30,60,Hagerstown,Washington,Maryland,Male,Uncertain,9/4/2024
UP12844,ME/C Case 14-03807,4/27/2014,15,30,Largo,Prince George's,Maryland,Female,Black / African American,9/4/2024
UP13060,ME/C Case Q14-01814,4/12/2014,20,30,Queens,Queens,New York,Male,Hispanic / Latino,8/8/2024
UP15120,ME/C Case J 2014-0221,4/12/2014,25,60,Macungie,Lehigh,Pennsylvania,Female,Uncertain,10/23/2024
UP13202,ME/C Case Q14-01744,4/9/2014,50,99,Queens,Queens,New York,Male,White / Caucasian,11/7/2023
UP12472,ME/C Case 2014-4057,3/20/2014,64,66,Hudson,Middlesex,Massachusetts,Male,White / Caucasian,9/26/2024
UP12394,ME/C Case ME14-2034/B14-807,3/11/2014,50,70,Greensboro,Guilford,North Carolina,Male,Black / African American,9/26/2024
UP12878,ME/C Case 2014-1004786,2/25/2014,,,Banks Crossing,Banks,Georgia,Male,Uncertain,9/4/2024
UP13201,ME/C Case K14-00906,2/14/2014,40,60,Brooklyn,Kings,New York,Male,Black / African American,9/26/2024
UP12242,ME/C Case C2014-56925; C0072-14,1/28/2014,21,37,Highland Springs,Henrico,Virginia,Male,Hispanic / Latino,11/14/2024
UP12141,ME/C Case 08140024,1/15/2014,34,60,West Deptford,Gloucester,New Jersey,Female,White / Caucasian,8/28/2024
UP12774,ME/C Case K14-00305,1/14/2014,40,60,Brooklyn,Kings,New York,Male,Black / African American,1/12/2024
UP12281,ME/C Case 13131329,12/30/2013,18,50,Highlands,Monmouth,New Jersey,Male,White / Caucasian,11/20/2024
UP12046,ME/C Case 13-10665,12/27/2013,40,60,Temple Hills,Prince George's,Maryland,Male,Black / African American,9/4/2024
UP17093,ME/C Case 13-5056,12/20/2013,31,48,Philadelphia,Philadelphia,Pennsylvania,Female,Black / African American,8/28/2024
UP11919,ME/C Case 15131487,12/19/2013,45,65,West Creek,Ocean,New Jersey,Male,"White / Caucasian, Hispanic / Latino",8/28/2024
UP12406,ME/C Case 07-13-2052,12/16/2013,40,80,Newark,Essex,New Jersey,Male,"White / Caucasian, Hispanic / Latino",8/28/2024
UP12180,ME/C Case 13-7805,11/28/2013,40,54,Charles Town,Jefferson,West Virginia,Male,"Hispanic / Latino, American Indian / Alaska Native",6/3/2024
UP11938,ME/C Case 13-2093,11/22/2013,30,50,Atlanta,Fulton,Georgia,Male,Black / African American,9/4/2024
UP12047,ME/C Case 1113-18-03-34,11/18/2013,30,50,York,York,Pennsylvania,Male,Black / African American,8/28/2024
UP12983,ME/C Case 05130270,10/25/2013,15,99,Sea Isle City,Cape May,New Jersey,Male,Uncertain,8/28/2024
UP13638,ME/C Case 13-14853,10/19/2013,50,65,,Bucks,Pennsylvania,Male,White / Caucasian,8/28/2024
UP16640,ME/C Case 2013-0983,10/9/2013,60,85,Yeadon,Delaware,Pennsylvania,Male,White / Caucasian,9/16/2024
UP11783,ME/C Case 2013-12615,9/27/2013,65,65,Dorchester,Suffolk,Massachusetts,Female,White / Caucasian,10/21/2024
UP11619,ME/C Case 03130611,9/11/2013,25,35,Delran,Burlington,New Jersey,Male,Black / African American,8/28/2024
UP15694,ME/C Case 16-02022,8/22/2013,,,Rochester,Monroe,New York,Unsure,Uncertain,9/22/2020
UP12066,ME/C Case 14-0018,8/10/2013,,,,Greene,New York,Male,Uncertain,10/28/2024
UP11586,ME/C Case 2013-1021,8/9/2013,35,55,Memphis,Shelby,Tennessee,Male,Black / African American,6/4/2024
UP11446,ME/C Case Dyer Co 11110391425,7/22/2013,,,,Dyer,Tennessee,Female,Uncertain,4/6/2018
UP11522,ME/C Case 2013-1015623,7/20/2013,,,Woodstock,Cherokee,Georgia,Male,Uncertain,9/4/2024
UP11443,ME/C Case H7-2222991,7/14/2013,30,60,Airville,York,Pennsylvania,Male,White / Caucasian,8/28/2024
UP11618,ME/C Case 13COR5106,7/14/2013,50,60,Pittsburgh,Allegheny,Pennsylvania,Male,Black / African American,8/28/2024
UP11578,ME/C Case 13-05741,7/10/2013,18,99,Berlin,Worcester,Maryland,Male,Uncertain,9/4/2024
UP11551,ME/C Case 2013-8681,7/3/2013,75,75,Medford,Middlesex,Massachusetts,Male,White / Caucasian,11/10/2023
UP12401,ME/C Case M13-03757,7/1/2013,35,50,New York,New York,New York,Male,Black / African American,12/2/2024
UP11814,ME/C Case M13-03464,6/16/2013,30,50,Manhattan,New York,New York,Male,"White / Caucasian, Hispanic / Latino",12/4/2024
UP15522,ME/C Case 05130142,6/14/2013,18,99,Ocean City,Cape May,New Jersey,Male,Uncertain,8/28/2024
UP11521,ME/C Case 13-1067,6/12/2013,35,60,Atlanta,Fulton,Georgia,Male,Uncertain,9/4/2024
UP16236,ME/C Case M2013-1262,6/5/2013,25,35,White Plains,Westchester,New York,Male,Uncertain,1/12/2024
UP16483,ME/C Case K13-02448,5/1/2013,50,80,Brooklyn,Kings,New York,Male,White / Caucasian,1/12/2024
UP11246,ME/C Case 07130700,4/22/2013,30,50,Newark,Essex,New Jersey,Female,Black / African American,8/28/2024
UP14695,ME/C Case 05150076,4/12/2013,18,99,Ocean City,Cape May,New Jersey,Unsure,Uncertain,8/28/2024
UP83477,ME/C Case N2013-00317,4/7/2013,0,0,Sterling,Loudoun,Virginia,Female,Uncertain,10/7/2024
UP16471,ME/C Case K13-01999,4/5/2013,25,35,Brooklyn,Kings,New York,Male,Asian,11/16/2023
UP11255,ME/C Case 2013-4571,4/2/2013,,,Newburyport,Essex,Massachusetts,Male,Uncertain,2/12/2024
UP11721,ME/C Case ME13-2959,3/22/2013,16,21,Kill Devil Hills,Dare,North Carolina,Male,White / Caucasian,8/21/2024
UP11642,ME/C Case 11130179,3/9/2013,40,60,Trenton,Mercer,New Jersey,Male,"White / Caucasian, Hispanic / Latino",11/20/2024
UP13516,ME/C Case 2013-6000412,2/3/2013,44,67,Glynn County,Glynn,Georgia,Male,White / Caucasian,9/4/2024
UP11071,ME/C Case 2013-0111,1/24/2013,25,50,Memphis,Shelby,Tennessee,Female,Black / African American,6/4/2024
UP10952,ME/C Case 13-0404,1/21/2013,20,40,Lattingtown,Nassau,New York,Female,Asian,9/5/2024
UP11020,ME/C Case 13-00495,1/15/2013,35,60,Baltimore,Baltimore,Maryland,Female,Black / African American,9/4/2024
UP11411,ME/C Case Q13-00228,1/12/2013,50,65,Queens,Queens,New York,Male,White / Caucasian,1/12/2024
UP11334,ME/C Case 13-0057,1/4/2013,32,47,Lesage,Cabell,West Virginia,Male,White / Caucasian,9/4/2024
UP14203,ME/C Case 2013-56,1/1/2013,69,71,Clinton,Worcester,Massachusetts,Female,White / Caucasian,11/10/2023
UP10899,ME/C Case 2012-15791,12/26/2012,16,99,Provincetown,Barnstable,Massachusetts,Male,Uncertain,2/12/2024
UP10972,ME/C Case Q12-05659,12/24/2012,15,99,Queens,Queens,New York,Unsure,Uncertain,10/16/2023
UP14206,ME/C Case 2012-15490,12/20/2012,82,84,Brookline,Norfolk,Massachusetts,Female,White / Caucasian,10/21/2024
UP16901,ME/C Case 05-12-0251,11/3/2012,18,99,Ocean City,Cape May,New Jersey,Unsure,Uncertain,8/28/2024
UP10751,ME/C Case LC-12-258,11/1/2012,30,60,Elizabethtown,Lancaster,Pennsylvania,Male,Uncertain,8/27/2024
UP15523,ME/C Case 05120248,10/31/2012,18,99,Ocean City,Cape May,New Jersey,Unsure,Uncertain,8/28/2024
UP14423,ME/C Case 12-02554,10/26/2012,,,,Monroe,New York,Unsure,Uncertain,7/29/2016
UP12469,ME/C Case 12-02553,10/26/2012,,,,Monroe,New York,Male,Uncertain,6/22/2016
UP14422,ME/C Case 12-02539,10/25/2012,,,,Monroe,New York,Unsure,Uncertain,9/9/2016
UP11069,ME/C Case 2012-1304,10/21/2012,15,25,Memphis,Shelby,Tennessee,Male,White / Caucasian,6/4/2024
UP16889,ME/C Case 2012-1221,10/3/2012,18,99,Memphis,Shelby,Tennessee,Male,"White / Caucasian, Hispanic / Latino",6/4/2024
UP10908,ME/C Case N2012-00605,8/29/2012,49,60,Falls Church,Fairfax,Virginia,Male,"Hispanic / Latino, Asian",10/31/2024
UP11248,ME/C Case N2012-00811,8/20/2012,50,69,Alexandria,Fairfax,Virginia,Male,White / Caucasian,9/10/2024
UP15129,ME/C Case 2012-1635,8/17/2012,36,60,Old Orchard Beach,York,Maine,Unsure,Uncertain,3/8/2024
UP10570,ME/C Case 12-2856,8/13/2012,13,15,Princeton,Mercer,West Virginia,Male,Asian,9/4/2024
UP10692,ME/C Case C2012-54231,8/12/2012,25,40,Petersburg,Petersburg,Virginia,Female,"Black / African American, Uncertain",9/4/2024
UP13570,ME/C Case 13-08524,7/31/2012,,,Hyattsville,Prince George's,Maryland,Male,Uncertain,9/4/2024
UP10773,ME/C Case 12-3082,7/30/2012,15,30,Philadelphia,Philadelphia,Pennsylvania,Female,Black / African American,8/28/2024
UP14207,ME/C Case 2012-9164,7/30/2012,71,73,Cambridge,Middlesex,Massachusetts,Male,Black / African American,6/14/2024
UP76492,ME/C Case 12-5545,7/24/2012,,,Baltimore,Baltimore,Maryland,Unsure,Uncertain,4/10/2023
UP11266,ME/C Case 12-2704,7/2/2012,18,35,Philadelphia,Philadelphia,Pennsylvania,Male,Black / African American,8/28/2024
UP14205,ME/C Case 2012-7965,7/2/2012,50,52,Worcester,Worcester,Massachusetts,Male,"White / Caucasian, Hispanic / Latino",11/10/2023
UP14618,ME/C Case 2012-7527,6/22/2012,68,70,Boston,Suffolk,Massachusetts,Male,Black / African American,11/10/2023
UP14270,ME/C Case 2012-7343,6/18/2012,58,60,Boston,Suffolk,Massachusetts,Female,White / Caucasian,11/10/2023
UP10499,ME/C Case Q12-02661,6/15/2012,45,60,Queens,Queens,New York,Male,Asian,1/31/2024
UP11070,ME/C Case 2012-0688,6/11/2012,,,Memphis,Shelby,Tennessee,Male,Uncertain,6/4/2024
UP13136,ME/C Case 2012-6897,6/7/2012,80,85,Boston,Suffolk,Massachusetts,Female,White / Caucasian,12/14/2020
UP12841,ME/C Case 12-04276,6/5/2012,20,30,Riverdale,Prince George's,Maryland,Female,Uncertain,12/11/2024
UP10425,ME/C Case 01120277,5/17/2012,50,60,Atlantic City,Atlantic,New Jersey,Male,Black / African American,8/28/2024
UP10235,ME/C Case ME12-4161/12-1914,4/16/2012,25,35,Warsaw,Duplin,North Carolina,Male,"White / Caucasian, Hispanic / Latino",1/12/2024
UP11165,ME/C Case 2012-1008203,4/6/2012,25,52,,Henry,Georgia,Male,Black / African American,9/4/2024
UP118834,ME/C Case T2012-74029,4/6/2012,42,46,Norfolk,Norfolk,Virginia,Male,Black / African American,5/16/2024
UP10517,ME/C Case 12-891,3/10/2012,35,55,Maxwelton,Greenbrier,West Virginia,Male,Uncertain,9/4/2024
UP17700,ME/C Case 2012-0435,3/4/2012,20,54,Saco,York,Maine,Male,Uncertain,10/28/2024
UP10276,ME/C Case 12-0919,3/3/2012,30,79,Philadelphia,Philadelphia,Pennsylvania,Male,Black / African American,8/28/2024
UP10571,ME/C Case 12-756,2/20/2012,0,0,Philadelphia,Philadelphia,Pennsylvania,Male,Uncertain,8/28/2024
UP11010,ME/C Case 2012-00668,2/17/2012,30,50,Manorville,Suffolk,New York,Male,White / Caucasian,10/22/2024
UP10004,ME/C Case 12C100787,2/12/2012,15,40,Danby,Rutland,Vermont,Female,Asian,9/4/2024
UP101939,ME/C Case A12-146,1/25/2012,,,Winston-Salem,Forsyth,North Carolina,Male,Uncertain,5/17/2023
UP101938,ME/C Case A12-145,1/25/2012,,,Winston-Salem,Forsyth,North Carolina,Male,Uncertain,5/17/2023
UP9848,ME/C Case 12-0107,1/16/2012,30,45,College Park,Fulton,Georgia,Female,Uncertain,9/4/2024
UP10355,ME/C Case 01120034,1/14/2012,18,99,Hamilton Township,Atlantic,New Jersey,Male,Uncertain,8/28/2024
UP10111,ME/C Case M12-00222,1/12/2012,45,65,New York,New York,New York,Male,Asian,1/31/2024
UP9826,ME/C Case 12G-0012,1/5/2012,20,40,Buford,Gwinnett,Georgia,Male,"White / Caucasian, Hispanic / Latino",9/4/2024
UP9734,ME/C Case N06-1091477,12/26/2011,50,60,Henryville,Monroe,Pennsylvania,Male,Uncertain,8/28/2024
UP17768,ME/C Case 4367732,12/11/2011,25,45,New Windsor,Orange,New York,Male,"Hispanic / Latino, Uncertain",4/3/2024
UP14961,ME/C Case 2011-16334,12/10/2011,,,West Springfield,Hampden,Massachusetts,Male,Uncertain,11/10/2023
UP9805,ME/C Case W2011-79846,11/26/2011,28,38,Stickleyville,Lee,Virginia,Male,Hispanic / Latino,10/7/2024
UP10685,ME/C Case 2011-15367,11/17/2011,16,99,Sandy Beach,Barnstable,Massachusetts,Male,Uncertain,2/12/2024
UP91277,ME/C Case C2011-52842,10/31/2011,,,Glen Allen,Hanover,Virginia,Unsure,Uncertain,11/22/2023
UP9554,ME/C Case 2011-3971,10/25/2011,40,60,Riverhead,Suffolk,New York,Male,Asian,10/13/2024
UP14705,ME/C Case 2011-13899,10/17/2011,80,85,Salisbury,Essex,Massachusetts,Male,White / Caucasian,11/10/2023
UP10164,ME/C Case ME11-8241/B11-3025,9/19/2011,18,99,Garner,Wake,North Carolina,Unsure,Uncertain,5/17/2023
UP9855,ME/C Case 15111235,9/11/2011,18,99,Long Beach,Ocean,New Jersey,Unsure,Uncertain,8/28/2024
UP9868,ME/C Case K11-04509,9/9/2011,45,65,Brooklyn,Kings,New York,Male,White / Caucasian,10/16/2023
